playerID,year,tmID,stint,pos,won_mvp,GP,GS,minutes,points,rebounds,assists,steals,blocks,turnovers,PF,ppg,rpg,apg,spg,bpg,mpg,topg,fgMade,fgAttempted,fg_pct,ftMade,ftAttempted,ft_pct,threeMade,threeAttempted,three_pct,usage_rate,true_shooting,ast_to_ratio,per_approx,made_playoffs,PostGP,PostPoints,PostRebounds,PostAssists,playoff_ppg,playoff_rpg,playoff_apg,prev_ppg,prev_rpg,prev_apg,prev_per_approx,prev_fg_pct,prev_true_shooting,ppg_improvement,rpg_improvement,apg_improvement,per_approx_improvement,years_experience,won,lost,team_win_pct,playoff,rank,confID,o_pts,d_pts,team_point_diff,height,weight
rileyru01w,2,MIA,0,C,0,32,20,799,218,130,26,25,46,63,107,6.8125,4.0625,0.8125,0.78125,1.4375,24.96875,1.96875,77,162,0.47530864197530864,64,83,0.7710843373493976,0,0,0.0,0.3273091364205256,0.5490630666935321,0.4126984126984127,8.6875,1,3,24,16,3,8.0,5.333333333333333,1.0,,,,,,,,,,,0,20,12,0.625,Y,3,EA,1957,1898,59,77.0,198
rileyru01w,3,MIA,0,C,0,26,8,519,148,90,25,11,41,49,87,5.6923076923076925,3.4615384615384617,0.9615384615384616,0.4230769230769231,1.5769230769230769,19.96153846153846,1.8846153846153846,60,129,0.46511627906976744,28,46,0.6086956521739131,0,0,0.0,0.3819653179190752,0.4958456177968373,0.5102040816326531,6.884615384615385,0,0,0,0,0,0.0,0.0,0.0,6.8125,4.0625,0.8125,8.6875,0.47530864197530864,0.5490630666935321,-1.1201923076923075,-0.6009615384615383,0.14903846153846156,-1.802884615384615,1,15,17,0.46875,N,6,EA,2046,2088,-42,77.0,198
rileyru01w,4,DET,0,C,0,34,34,995,327,201,64,25,58,82,128,9.617647058823529,5.911764705882353,1.8823529411764706,0.7352941176470589,1.7058823529411764,29.264705882352942,2.411764705882353,115,231,0.49783549783549785,97,127,0.7637795275590551,0,0,0.0,0.3707336683417085,0.5699247071946458,0.7804878048780488,13.147058823529411,1,8,103,49,20,12.875,6.125,2.5,5.6923076923076925,3.4615384615384617,0.9615384615384616,6.884615384615385,0.46511627906976744,0.4958456177968373,3.9253393665158365,2.4502262443438916,0.920814479638009,6.262443438914026,2,25,9,0.7352941176470589,Y,1,EA,2553,2395,158,77.0,198
rileyru01w,5,DET,0,C,0,34,34,1037,378,199,50,31,53,82,121,11.117647058823529,5.852941176470588,1.4705882352941178,0.9117647058823529,1.5588235294117647,30.5,2.411764705882353,153,343,0.446064139941691,71,87,0.8160919540229885,1,2,0.5,0.4467502410800385,0.4956986991187579,0.6097560975609756,12.441176470588236,1,3,29,15,9,9.666666666666666,5.0,3.0,9.617647058823529,5.911764705882353,1.8823529411764706,13.147058823529411,0.49783549783549785,0.5699247071946458,1.5,-0.058823529411765385,-0.4117647058823528,-0.7058823529411757,3,17,17,0.5,Y,3,EA,2366,2381,-15,77.0,198
rileyru01w,6,DET,0,C,0,33,33,855,251,156,39,23,46,68,131,7.606060606060606,4.7272727272727275,1.1818181818181819,0.696969696969697,1.393939393939394,25.90909090909091,2.0606060606060606,100,267,0.37453183520599254,48,60,0.8,3,12,0.25,0.4226900584795321,0.4277436946148603,0.5735294117647058,8.121212121212121,1,2,17,11,0,8.5,5.5,0.0,11.117647058823529,5.852941176470588,1.4705882352941178,12.441176470588236,0.446064139941691,0.4956986991187579,-3.5115864527629226,-1.1256684491978604,-0.2887700534759359,-4.319964349376114,4,16,18,0.47058823529411764,Y,4,EA,2247,2287,-40,77.0,198
rileyru01w,7,DET,0,C,0,34,34,875,249,165,52,18,49,54,110,7.323529411764706,4.852941176470588,1.5294117647058822,0.5294117647058824,1.4411764705882353,25.735294117647058,1.588235294117647,115,252,0.45634920634920634,16,18,0.8888888888888888,3,9,0.3333333333333333,0.3587657142857143,0.47899353647276083,0.9629629629629629,10.0,1,10,44,32,5,4.4,3.2,0.5,7.606060606060606,4.7272727272727275,1.1818181818181819,8.121212121212121,0.37453183520599254,0.4277436946148603,-0.2825311942959008,0.12566844919786035,0.34759358288770037,1.878787878787879,5,23,11,0.6764705882352942,Y,2,EA,2527,2384,143,77.0,198
rileyru01w,8,SAS,0,C,0,30,29,773,176,148,37,27,59,69,114,5.866666666666666,4.933333333333334,1.2333333333333334,0.9,1.9666666666666666,25.766666666666666,2.3,72,194,0.3711340206185567,27,29,0.9310344827586207,5,27,0.18518518518518517,0.35673997412677877,0.42561423873089577,0.5362318840579711,8.466666666666667,1,5,30,25,11,6.0,5.0,2.2,7.323529411764706,4.852941176470588,1.5294117647058822,10.0,0.45634920634920634,0.47899353647276083,-1.4568627450980394,0.0803921568627457,-0.29607843137254886,-1.5333333333333332,6,20,14,0.5882352941176471,Y,2,WE,2517,2484,33,77.0,198
rileyru01w,9,SAS,0,C,0,30,3,580,153,108,31,14,41,52,101,5.1,3.6,1.0333333333333334,0.4666666666666667,1.3666666666666667,19.333333333333332,1.7333333333333334,63,145,0.43448275862068964,18,21,0.8571428571428571,9,28,0.32142857142857145,0.35558620689655174,0.4959802904564315,0.5961538461538461,7.0,1,9,18,19,10,2.0,2.111111111111111,1.1111111111111112,5.866666666666666,4.933333333333334,1.2333333333333334,8.466666666666667,0.3711340206185567,0.42561423873089577,-0.7666666666666666,-1.3333333333333335,-0.19999999999999996,-1.4666666666666668,7,24,10,0.7058823529411765,Y,1,WE,2546,2418,128,77.0,198
rileyru01w,10,SAS,0,C,0,31,17,650,163,140,28,14,45,35,90,5.258064516129032,4.516129032258065,0.9032258064516129,0.45161290322580644,1.4516129032258065,20.967741935483872,1.1290322580645162,68,147,0.46258503401360546,23,26,0.8846153846153846,4,18,0.2222222222222222,0.2976,0.5143903054784146,0.8,8.806451612903226,1,3,12,7,1,4.0,2.3333333333333335,0.3333333333333333,5.1,3.6,1.0333333333333334,7.0,0.43448275862068964,0.4959802904564315,0.15806451612903238,0.9161290322580649,-0.13010752688172056,1.806451612903226,8,15,19,0.4411764705882353,Y,4,WE,2615,2661,-46,77.0,198
rizzoje01w,1,HOU,0,G,0,32,2,437,60,36,44,15,2,26,38,1.875,1.125,1.375,0.46875,0.0625,13.65625,0.8125,21,55,0.38181818181818183,6,9,0.6666666666666666,12,39,0.3076923076923077,0.19441647597254005,0.508819538670285,1.6923076923076923,2.9375,1,1,0,0,0,0.0,0.0,0.0,,,,,,,,,,,0,27,5,0.84375,Y,2,WE,2475,2066,409,66.0,146
